text,user_id_hashed,war,ua,ru,datetime,media
"Почему обошли стороной Сбербанк и Газпромбанк? Блин, они же на 40% их, а накладывать санкции на себя было бы слишком)",a39d92442c72ee9bde4f3c7698121908,0.9999895,0.0207033,0.97929674,2022-02-22 13:10:11,Argementy nedeli
Британский Олег Попов🤣,86b9273b864412df04c00aa128537e85,0.9999368,0.013526385,0.9864737,2022-02-22 13:20:54,Argementy nedeli
Ну хоть что-то радостное. 😃,ee76371763453382a257bb32ae057aff,0.9999962,0.0002548727,0.9997451,2022-02-22 13:23:32,Argementy nedeli
Вот это нормально👍,79404ebcc2cc9805baab71a98e9d15af,0.99999547,0.9946055,0.0053945286,2022-02-22 13:24:36,Argementy nedeli
Ротенбергов и ему подобных в Грузчики.,6b54b3d62055e6e0e422b07c0fcd3b84,8.234469e-06,0.00092157826,0.9990784,2022-02-22 13:25:04,Argementy nedeli
А мы тебе расчёску подарим!,26caff243a1538883601686d485a650f,0.99999595,0.8185238,0.18147616,2022-02-22 13:29:45,Argementy nedeli
"По фото видно, что лохматая башка болен, 4 стадия. Скоро даст дуба. Да и пол он, кажется, сменил в юности. Надо напоследок нас**ть России. Первый берцелиз пиндорастов. ""Англичанка опять гадит"" (Суворов А.В.). Гольфстрим уже отворачивает от Европы. Скоро остров покроет толстый-толстый слой льда и снега. Бритторасты на коленях в соплях и слезах приползут в Кремль просить помощи. Другие шавки пиндорастов палец о палец не ударят в их спасении. Это же шакальё, каждый сам за себя. Россия, забыв все обиды, протянет руку помощи. Сибирь у нас бо-ольшая, снег кто-то должен убирать, ёлки-моталки. А если серьёзно, то это нам с высокой колокольни Ивана Великого, прости Господи, на пиндорастов и их шавок за их санкции. Всем здоровья и оптимизма!",e32d5f35f34aea00234a5d08bcb12553,0.9999658,0.82670826,0.17329173,2022-02-22 13:47:25,Argementy nedeli
"Козёл! Ты ещё обо всём пожалеешь, убийца детей на Донбассе. Это ты, урод, посылал оружие на Украину и за это, дрянь, должен ответить своей жизнью, извращенец!",065cc27805f2f1f3eae3c250d9c79a69,0.9999964,5.1914045e-05,0.999948,2022-02-22 14:51:41,Argementy nedeli
Пора уже этой шавке Европы предъявить! Свободу Северной Ирландии! Ольстер будет свободен от извергов мелкобритов! И отдайте Гибралтар Великой Испании!,f09118a18ecc8bb37ddc150a40a9653d,0.9999962,0.06358386,0.9364162,2022-02-22 15:40:28,Argementy nedeli
До чего же придурочный дядька..((,787282540e3c643da1616234d9bece57,0.9999949,0.3614507,0.6385493,2022-02-22 15:53:43,Argementy nedeli
"Да, и алаверды пиндорасам, теперь точно нужно прекратить отгрузку титана на летающие гробы боинги. Санкции зеркальные, паралитик дядя Сэм. Боинг на сотни миллиардов уже продал ещё не изготовленные летающие гробы. Без титана пойдёт по миру, вот красота то будет вселенская. Конечно, до этого не дойдёт. Встав перед фактом отсутствия титана, вольные каменщики из боинга в яйцевидной камере в белом доме (в России так туалеты-сортиры называют в сельской местности) под угрозой насильственных действий над мумией и в кабинетах сената над сенаторами, заставят отменить санкции против России. Так всё просто. Давно надо было так сделать. Пиндосы предупредили своих, чтобы не посещали общественные места Москвы и Питера, так как они, ""на воре и шапка горит"", скомановали ""фас"" своим выкормышам. Страна-террорист, поганое семя. Баба Ванга после 22.02.2022 САСШ не видела на Земле. Может, имела ввиду не самое то, что всем бы нам очень хотелось, она, ведь добрая женщина была. Может, она имела ввиду то, что пиндорасы и их шавки, наконец, засунут свои поганые языки в ""уста, не говорящие по фламандски"" (да-да, я уже говорил об этом) и заткнутся, наконец. Всем здоровья и оптимизма!",e32d5f35f34aea00234a5d08bcb12553,0.9999658,0.82670826,0.17329173,2022-02-22 16:27:17,Argementy nedeli
Как жалко наших бедных олигархов😰,99c24c0bd63f59ce4748bebcf02a7505,7.433992e-05,0.31132793,0.6886721,2022-02-22 17:30:19,Argementy nedeli
"[ida39d92442c72ee9bde4f3c7698121908|Андрей], точно сами себя пожалели-твари уже не знают что ещё придумать? англичанка гадит",f937938cae98dbd3831a1f4899d246f9,0.9999906,0.0018136549,0.9981863,2022-02-22 13:20:40,Argementy nedeli
"[idf937938cae98dbd3831a1f4899d246f9|Виктор], не переживайте, на Бориса  РФ тоже санкции наложит, а вот BP и других, где доли у российского капитала, трогать не будем, зато каков будет ""патриотический подъем"", ""англичанка гадит"", а мы ее ату",a39d92442c72ee9bde4f3c7698121908,0.9999895,0.0207033,0.97929674,2022-02-22 13:23:22,Argementy nedeli
"[ida39d92442c72ee9bde4f3c7698121908|Андрей], они обошли стороной и ВТБ и РОССЕЛЬХОЗБАНК И ВНЕШЭКОНОМБАНК а это гиганты))",55220fe9a4e15aa250999c8d7ea2330b,0.9999963,5.6518635e-05,0.9999435,2022-02-22 15:04:05,Argementy nedeli
"Слово - замораживает, в данном случае, не совсем точно по смыслу, речь идёт о временном аресте активов..",953da0cad4fbb99a4e398edb96807f70,0.9999869,0.00022014856,0.9997799,2022-02-22 16:43:29,Argementy nedeli
"[idf6e730739f5bfdc840ecedfc640171f7|Александр], почитай английский юмор! Правда смешно!",26caff243a1538883601686d485a650f,0.99999595,0.8185238,0.18147616,2022-02-22 14:38:29,Argementy nedeli
🤣🤣🤣🤣🤣,f6e730739f5bfdc840ecedfc640171f7,0.99986386,0.16541767,0.8345823,2022-02-22 13:05:18,Argementy nedeli
"""США сегодня объявят новые санкции против России как ответ на признания Москвой ДНР и ЛНР"" ... 2042 год. Центр необратимых психических заболеваний, на берегу озера Онтарио, Республика индейцев Северной Америки. Главный врач Центра - Белый Орёл: - И продолжая наш рассказ о нашем Центре, не могу не сказать о большой группе наших пациентов - бывших, когда то давно, сенаторами САСШ. Это трудно объяснить, но однажды в один день 23 февраля 2022 года они принимали очередные санкции против России и все, все!, враз помутнились разумом. Их пытались лечить и в САСШ, и после, когда САСШ перестали существовать, уже в нашей республике. Всё бесполезно. Каждый день, вот уже на протяжении 20 лет, ровно в 12 часов они садятся на свои любимые горшки, делают своё дело, потом надевают горшки с ... м-м-м этим на голову и кричат хором ""Санкции! Санкции! Санкции!"" И так каждый день на протяжении 20 лет.Нашим нянечкам потом приходится каждый день мыть их и стирать их пижамы.",e32d5f35f34aea00234a5d08bcb12553,0.9999658,0.82670826,0.17329173,2022-02-22 08:15:52,Argementy nedeli
не пеликайте,7fc0c534d1d8e0bbb509de8e965b381f,0.999984,0.44215778,0.55784225,2022-02-22 08:42:25,Argementy nedeli
"""Госсекретарь США Энтони Блинкен в телефонной беседе с министром иностранных дел Украины Дмитрием Кулебой заявил, что США «быстро отреагируют» на признание Россией независимости самопровозглашенных ДНР и ЛНР, сообщил Госдеп"". ""Ах, Моська, знать она сильна, что лает на слона"". Блинкен, хватит гавкать!",e32d5f35f34aea00234a5d08bcb12553,0.9999658,0.82670826,0.17329173,2022-02-22 10:31:25,Argementy nedeli
"Молодец Владимир Владимирович ,пришло время прекратить геноцид наших сограждан на Донбассе ,ждем когда наши войска возьмут контроль над границами независимых республик и жители ЛДНР смогу спокойно вернуться домой .Так же от себя выражаю желание чтобы в ближайшее время началась работа по интеграции независимых республик ЛДНР в состав Российской Федерации .Слава нашему великому президенту ,слава нашим братьям и сестрам с Донбасса , слава России 🇷🇺🇷🇺🇷🇺",64833b8a4b59afb51b18c6eb7868e506,1.6328621e-06,4.355702e-05,0.9999565,2022-02-21 20:08:59,Argementy nedeli
"Браво!!! Хорошая речь, не в бровь, а в глаз!!! Горжусь своим  президентом!!! Рад за Донбасс!!!",9d7af6417895e144a0b8dbf65aeb344d,0.9999964,0.99794704,0.002052944,2022-02-21 20:31:20,Argementy nedeli
"Как я долго ждала этого момента!!! Конечно, будут трудности, но всё переживается сообща.... И жизнь в республиках восстановится!!! Горжусь нашим президентом!!!",fba0c705fa24e1a24651379137de120a,0.9999372,0.1750292,0.8249708,2022-02-21 21:49:56,Argementy nedeli
Поддерживаю в этом решении,55220fe9a4e15aa250999c8d7ea2330b,0.9999963,5.6518635e-05,0.9999435,2022-02-22 04:52:08,Argementy nedeli
"И сразу нашёл виноватых во всех нынешних проблемах, Ленин и Сталин, мол неправильно присоединяли... А алкаша который бумаги на раздел СССР подписывал даже не вспомнил... Учитель всетаки.",2641ec14d3215d479f211bb645e48d3f,0.99999225,0.10881447,0.8911855,2022-02-22 05:15:35,Argementy nedeli
