text,user_id_hashed,war,ua,ru,datetime,media
"Скоро как в США начнут вооружаться, причем, как правило те, кому оружие лучше в руки не давать.",12d2231cfacea6e433fb4bdb3bc731f4,0.999974,0.007938226,0.99206173,2022-02-22 17:26:42,Parlamentskaja gazeta
"лютое по агрессивности бандеро-пиндосское войско должно уже впасть в мандраже. они видишь ли 8 лет сдерживали российского липового ахрессора, захисники куевы, а теперь вот настоящие появятся и как же им быть и дальше жить?! беда для любителей в твиттере давить москалей и вату.",9c111fc0322fe5e2edf9f07f172db1fc,0.9999963,0.00017628093,0.99982375,2022-02-22 16:11:51,Parlamentskaja gazeta
"Не хочу войны, но ....достали.  Пора.",894b5dc1a625465f41da8b8a2235bded,0.9999964,0.00040763133,0.99959236,2022-02-22 16:19:05,Parlamentskaja gazeta
"[id894b5dc1a625465f41da8b8a2235bded|Людмила], давай вперед в окопы , за путинское опг😂🤣🤣",d0578ae89a1a508681c6fd3f45c375ed,0.99999475,0.9998472,0.0001527883,2022-02-22 17:01:06,Parlamentskaja gazeta
а сейчас они как регистрируются7 дурдом,a4fecdd6e8239be45bac8794d689e73a,0.99999547,0.1847557,0.8152443,2022-02-22 15:56:18,Parlamentskaja gazeta
"Это о той дервесине идет речь, которую в Китай везут?",a4fecdd6e8239be45bac8794d689e73a,0.99999547,0.1847557,0.8152443,2022-02-22 14:56:53,Parlamentskaja gazeta
Зачем уничтожать то? 😳уж тогда что то придумать надо своë!,785e25f74e01188c527a380fcf296afa,0.9999963,0.01251716,0.9874828,2022-02-22 15:03:41,Parlamentskaja gazeta
"[ida4fecdd6e8239be45bac8794d689e73a|Дмитрий], нет, это та, которую из сушеных либералов делают",3471a88c7cffeeec51b332e8f30570c1,0.9999963,7.9538295e-05,0.9999205,2022-02-22 14:59:05,Parlamentskaja gazeta
"[id3471a88c7cffeeec51b332e8f30570c1|Александр], ну слава Богу - значит наши китайские партнеры могут спать спокойно... лес еще у нас в стране",a4fecdd6e8239be45bac8794d689e73a,0.99999547,0.1847557,0.8152443,2022-02-22 15:03:39,Parlamentskaja gazeta
"[id3471a88c7cffeeec51b332e8f30570c1|Александр], Боюсь, что ДО ЭТОГО еще много времени пройдет!😂",24e378fcb349399e2f3a43b75aac200b,0.9999101,6.2502084e-05,0.99993753,2022-02-22 15:03:57,Parlamentskaja gazeta
