text,user_id_hashed,war,ua,ru,datetime,media
Молодец Саша .,51b05fa63ee11336ef8f1ba8e6c1a9fc,0.9998346,0.011202603,0.98879737,2022-02-21 01:48:32,Telekanal Rossija 1
"Большунов молодец,хоть в этот раз не сломал 😹😹😹",fc3d81f524094993480c42d7b8434471,0.9830725,0.0077397567,0.9922603,2022-02-21 02:41:03,Telekanal Rossija 1
Браво Саша,1aecf2320e0248a377991138551ad09a,0.9999354,0.0018663751,0.9981336,2022-02-21 04:51:41,Telekanal Rossija 1
"Саша такой серьезный,а Ваня улыбается, молодцы",843b42e81187eaa3e10ac31856094af2,1.7179495e-05,0.0029843801,0.9970156,2022-02-21 05:58:55,Telekanal Rossija 1
"Спасибо большое,Александр!!!",1617e5d66d1eac576b783b1c61fbb1d4,0.8135332,0.0010221452,0.9989779,2022-02-21 06:11:41,Telekanal Rossija 1
"Россия - священная наша держава, Россия - любимая наша страна. Могучая воля, великая слава - Твое достоянье на все времена! Славься, Отечество наше свободное, Братских народов союз вековой, Предками данная мудрость народная! Славься, страна! Мы гордимся тобой!!!!🇷🇺🇷🇺🇷🇺🙏🙏🙏💪👍",747678ad8e70ddb4677ffdffbb7ee6df,6.158126e-07,0.0004848123,0.9995152,2022-02-21 06:27:13,Telekanal Rossija 1
Герои олимпиады,c76280c83a74491cde4005c8a3487fb3,0.99997735,0.0025811342,0.9974189,2022-02-21 07:21:34,Telekanal Rossija 1
Король!!,804e38db515ef20f202282d303a74211,0.9999963,0.30216342,0.69783664,2022-02-21 07:21:48,Telekanal Rossija 1
"Самое прекрасное мгновение на этой  Олимпиаде! Гордость за наших ребят и девченок! Каким тернистым был путь к вершине славы, знают только спортсмены и их тренера! Слався, страна, мы гордимся тобой!",b62c9a9c57bfcfda90e85437c60abb7b,5.5805876e-06,0.0004421045,0.9995579,2022-02-21 07:36:54,Telekanal Rossija 1
а где наши фигуристы по фигурного катание не показали и остальных тоже непоказали,d3757a6f23f47794f9e8db2d0b7b25dc,0.99981266,0.018671097,0.98132885,2022-02-21 07:48:42,Telekanal Rossija 1
Король лыж!!! Лучший в мире!,6fc7617ea3420fa255fa71c273bd9a2c,4.882795e-06,0.5629309,0.43706912,2022-02-21 08:39:48,Telekanal Rossija 1
"Сильный и талантливый Александр Большунов! Успехов, тебе, дорогой лыжник!",0df88c3e97a5c46c3e437cc5774b2e8a,5.3279273e-06,0.0009861024,0.9990139,2022-02-21 08:50:24,Telekanal Rossija 1
Я очень рада за этого спортсмена. Саша-молодец. Смотреть приятно (честно-до слёз),44aebdad1056de926bdc395abf097d41,6.9769493e-07,0.009450149,0.99054986,2022-02-21 20:23:57,Telekanal Rossija 1
"[id57c73d2f52c72c3f8fe94b992e49c53c|Елена], нет смысла и желания продолжать этот странный диалог. Всего хорошего.",f901bb8503e5ce0345758beb5b93b44a,5.1055207e-07,0.10559505,0.89440495,2022-02-21 06:10:08,Telekanal Rossija 1
"[idc5ab529e3381ffa118884062877c97d5|Ярослав], это самая тяжелая, длинная и последняя гонка и проводится в день закрытия Олимпиады! Потому и награждение всегда на стадионе, на Церемонии закрытия, чтобы весь мир еще раз увидел лица этих феноменальных Героев!👑🏆 Напутали в этот раз со днями, в предпоследний день провели, но этот факт сути не меняет!😊❤",57c73d2f52c72c3f8fe94b992e49c53c,1.781355e-06,0.003863584,0.9961364,2022-02-21 06:03:12,Telekanal Rossija 1
"[idc5ab529e3381ffa118884062877c97d5|Ярослав], вот всё то вам не угодить🙄, чем нибудь да не довольны. Радоваться надо - пусть все видят и восхищаются нашими спортсменами!!! И мы в том числе! 👏👏👏",3ff023489b6f311c63c04b168b84c09d,5.2706746e-06,0.056285687,0.9437144,2022-02-21 09:50:22,Telekanal Rossija 1
"[id57c73d2f52c72c3f8fe94b992e49c53c|Елена], вот и меня смутило ещё то что не в последний день, раз аж награждают на закрытии",c5ab529e3381ffa118884062877c97d5,0.9999521,0.47503728,0.5249628,2022-02-21 10:01:34,Telekanal Rossija 1
"[id3ff023489b6f311c63c04b168b84c09d|Наталья], всмысле? Во первых я не с России, во вторых просто интересно почему так",c5ab529e3381ffa118884062877c97d5,0.9999521,0.47503728,0.5249628,2022-02-21 10:01:55,Telekanal Rossija 1
"[idc5ab529e3381ffa118884062877c97d5|Ярослав], о, извините. Раз не из России, всё понятно.",3ff023489b6f311c63c04b168b84c09d,5.2706746e-06,0.056285687,0.9437144,2022-02-21 10:03:25,Telekanal Rossija 1
