time,role,annotator_id,analysed_account_id,answer,ground_truth_label,bot_quality
1637044882.1471534,BOTS+STUDENTS,870218866,582898692,USER,BOT,LOW
1637044882.398787,BOTS_ONLY,1555616902,246310503,USER,BOT,MID
1637044894.777931,BOTS+RANDOM,889969266,465109680,USER,USER,
1637044895.8814847,BOTS+STUDENTS,870218866,585475810,BOT,BOT,MID
1637044896.126466,BOTS+GROUPS_SHIFTED,474190227,313573077,IDN,USER,
1637044896.7909434,BOTS+GROUPS_SHIFTED,137348303,136562227,USER,USER,
1637044897.5598116,BOTS+GROUPS_SHIFTED,591258635,254873984,USER,BOT,HIGH
1637044898.5557046,BOTS+RANDOM,785202004,580904372,BOT,BOT,MID
1637044899.0022192,BOTS+RANDOM,214950535,519506676,IDN,BOT,MID
1637044899.3649378,BOTS+RANDOM,1767820372,636797309,USER,USER,
1637044900.3505406,BOTS+GROUPS_SHIFTED,1971868463,517653873,USER,USER,
1637044904.033409,BOTS_ONLY,923283466,72014303,BOT,BOT,LIVE
1637044905.951656,BOTS_ONLY,1448919485,4659710,USER,BOT,HIGH
1637044906.6116416,BOTS+GROUPS_SHIFTED,474190227,571112751,IDN,BOT,MID
1637044907.3150263,BOTS+RANDOM,451926275,18836301,USER,BOT,LIVE
1637044910.334238,BOTS_ONLY,1975879812,361707899,USER,BOT,HIGH
1637044911.1243298,BOTS+RANDOM,785202004,271098151,USER,USER,
1637044912.249498,BOTS_ONLY,899202378,542401564,USER,BOT,MID
1637044913.1339748,BOTS+RANDOM,451926275,399776568,BOT,USER,
1637044914.7339067,BOTS+GROUPS_SHIFTED,474190227,584756653,IDN,BOT,MID
1637044917.2974465,BOTS_ONLY,899202378,542472368,IDN,BOT,LOW
1637044917.6766157,BOTS_ONLY,1975879812,554667652,BOT,BOT,MID
1637044918.7654505,BOTS+RANDOM,1351219319,156908839,USER,BOT,LIVE
1637044920.0970137,BOTS+GROUPS_SHIFTED,137348303,2699231,USER,USER,
1637044921.501304,BOTS+GROUPS_SHIFTED,474190227,313711926,IDN,BOT,MID
1637044935.1853185,BOTS+GROUPS_SHIFTED,137348303,328209450,USER,BOT,MID
1637044937.0704267,BOTS+RANDOM,214950535,303726952,BOT,USER,
1637044939.638483,BOTS_ONLY,899202378,108398982,USER,BOT,HIGH
1637044947.9739702,BOTS+RANDOM,1351219319,347637888,BOT,USER,
1637044948.833419,BOTS+GROUPS_SHIFTED,137348303,10689162,USER,USER,
1637044949.4061768,BOTS+STUDENTS,870218866,496027918,USER,BOT,HIGH
1637044951.084225,BOTS+GROUPS_SHIFTED,1970646870,190053539,USER,USER,
1637044951.5061648,BOTS+STUDENTS,870218866,125166357,USER,BOT,LIVE
1637044952.8245895,BOTS+RANDOM,451926275,96599317,BOT,BOT,LIVE
1637044954.9696202,BOTS_ONLY,1448919485,92858267,BOT,BOT,LIVE
1637044959.182726,BOTS+RANDOM,889969266,318304152,BOT,USER,
1637044965.4073498,BOTS+RANDOM,889969266,570583601,BOT,BOT,MID
1637044969.029933,BOTS+GROUPS_SHIFTED,1970646870,330476339,IDN,USER,
1637044971.393429,BOTS+GROUPS_SHIFTED,137348303,583119590,BOT,BOT,LIVE
1637044974.658244,BOTS_ONLY,1448919485,123304262,BOT,BOT,LIVE
1637044975.314292,BOTS+GROUPS_SHIFTED,474190227,398269476,USER,BOT,HIGH
1637044975.4932342,BOTS_ONLY,1975879812,562957167,BOT,BOT,HIGH
1637044977.3173723,BOTS+RANDOM,451926275,227171147,BOT,BOT,MID
1637044981.3582096,BOTS+GROUPS_SHIFTED,137348303,530747572,IDN,BOT,MID
1637044983.2368522,BOTS+GROUPS_SHIFTED,1971868463,1419162,USER,USER,
1637044984.041227,BOTS_ONLY,1448919485,574554716,BOT,BOT,LIVE
1637044984.404508,BOTS+RANDOM,889969266,585134567,BOT,BOT,LOW
1637044995.8766148,BOTS_ONLY,1448919485,6605085,USER,BOT,HIGH
1637044996.3164084,BOTS+GROUPS_SHIFTED,137348303,368781828,IDN,USER,
1637044999.2693484,BOTS+GROUPS_SHIFTED,1970646870,11735158,USER,USER,
1637045000.150318,BOTS_ONLY,899202378,550876187,BOT,BOT,MID
1637045001.1980526,BOTS+RANDOM,451926275,558636554,BOT,BOT,LOW
1637045004.6379502,BOTS+GROUPS_SHIFTED,1970646870,585043948,BOT,BOT,MID
1637045006.6695886,BOTS+GROUPS_SHIFTED,1971868463,406998860,IDN,BOT,MID
1637045007.0140831,BOTS_ONLY,899202378,582916841,IDN,BOT,MID
1637045008.9786806,BOTS_ONLY,442958340,444407993,BOT,BOT,LOW
1637045010.5767343,BOTS_ONLY,899202378,237639418,IDN,BOT,HIGH
1637045010.9007192,BOTS+STUDENTS,870218866,514301574,BOT,BOT,MID
1637045011.216028,BOTS+RANDOM,214950535,583885247,IDN,BOT,LOW
1637045011.5033417,BOTS+RANDOM,451926275,374921121,BOT,USER,
1637045012.087174,BOTS_ONLY,923283466,562495934,BOT,BOT,LOW
1637045019.977189,BOTS_ONLY,899202378,23404523,USER,BOT,HIGH
1637045020.4010048,BOTS+RANDOM,889969266,465227958,BOT,USER,
1637045020.9415662,BOTS+STUDENTS,870218866,549343595,IDN,BOT,LOW
1637045022.4376266,BOTS+RANDOM,451926275,236970837,BOT,USER,
1637045024.02029,BOTS+GROUPS_SHIFTED,591258635,52887637,USER,USER,
1637045024.4858277,BOTS_ONLY,899202378,582710513,IDN,BOT,LIVE
1637045026.0507088,BOTS+GROUPS_SHIFTED,137348303,44536455,IDN,USER,
1637045027.8039382,BOTS_ONLY,1448919485,131753837,USER,BOT,LIVE
1637045028.3521914,BOTS_ONLY,899202378,581545745,IDN,BOT,LOW
1637045032.989382,BOTS_ONLY,899202378,233417476,IDN,BOT,HIGH
1637045033.1630735,BOTS_ONLY,1448919485,289642788,IDN,BOT,MID
1637045033.4749374,BOTS+RANDOM,214950535,583517975,IDN,BOT,HIGH
1637045034.6737423,BOTS_ONLY,923283466,571112751,IDN,BOT,MID
1637045036.5161612,BOTS_ONLY,899202378,576747678,IDN,BOT,LIVE
1637045039.3079998,BOTS+RANDOM,889969266,64784086,BOT,USER,
1637045044.539325,BOTS_ONLY,1448919485,557417240,USER,BOT,LOW
1637045044.818215,BOTS_ONLY,899202378,155262469,IDN,BOT,LOW
1637045045.111648,BOTS+GROUPS_SHIFTED,1971868463,570930002,BOT,BOT,MID
1637045045.5980363,BOTS+RANDOM,1767820372,538412581,BOT,BOT,LOW
1637045047.418814,BOTS_ONLY,923283466,583835352,IDN,BOT,MID
1637045060.288431,BOTS+RANDOM,889969266,167202745,BOT,USER,
1637045060.62183,BOTS+RANDOM,785202004,521904459,BOT,USER,
1637045062.9416854,BOTS+RANDOM,1351219319,86771401,BOT,BOT,HIGH
1637045064.514787,BOTS_ONLY,1448919485,585007034,USER,BOT,MID
1637045067.7967465,BOTS+STUDENTS,870218866,184194819,USER,BOT,LIVE
