descr,available,price,sn,shop,action,quality,action_n,quality_n
100 Друзей  Оптимальные СНГ 45   Хорошее качество Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,100,0.45,vk,doctorsmm.csv,friend,high,3,3
500 Друзей  Оптимальные СНГ 219   Хорошее качество Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,500,0.438,vk,doctorsmm.csv,friend,high,3,3
1000 Друзей  Оптимальные СНГ 429   Хорошее качество Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,1000,0.429,vk,doctorsmm.csv,friend,high,3,3
5000 Друзей  Оптимальные СНГ 2099   Хорошее качество Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,5000,0.4198,vk,doctorsmm.csv,friend,high,3,3
100 Друзей  Быстрый старт 51   Хорошее качество Россия+СНГ Запуск 0-1 час Мин 100 ед на 1 ссылку Скорость до 500 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,100,0.51,vk,doctorsmm.csv,friend,high,3,3
1000 Друзей  Быстрый старт 489   Хорошее качество Россия+СНГ Запуск 0-1 час Мин 100 ед на 1 ссылку Скорость до 500 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,1000,0.489,vk,doctorsmm.csv,friend,high,3,3
5000 Друзей  Быстрый старт 2399   Хорошее качество Россия+СНГ Запуск 0-1 час Мин 100 ед на 1 ссылку Скорость до 500 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,5000,0.4798,vk,doctorsmm.csv,friend,high,3,3
10000 Друзей  Быстрый старт 4719   Хорошее качество Россия+СНГ Запуск 0-1 час Мин 100 ед на 1 ссылку Скорость до 500 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,10000,0.4719,vk,doctorsmm.csv,friend,high,3,3
100 Подписчиков  в группу Стандартные 44   Хорошее качество Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 100 ед/сутки Доступно 5000 ед Стабильные! Безопасное продвижение!,100,0.44,vk,doctorsmm.csv,participate,high,3,3
500 Подписчиков  в группу Стандартные 217   Хорошее качество Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 100 ед/сутки Доступно 5000 ед Стабильные! Безопасное продвижение!,500,0.434,vk,doctorsmm.csv,participate,high,3,3
1000 Подписчиков  в группу Стандартные 427   Хорошее качество Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 100 ед/сутки Доступно 5000 ед Стабильные! Безопасное продвижение!,1000,0.427,vk,doctorsmm.csv,participate,high,3,3
5000 Подписчиков  в группу Стандартные 2089   Хорошее качество Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 100 ед/сутки Доступно 5000 ед Стабильные! Безопасное продвижение!,5000,0.4178,vk,doctorsmm.csv,participate,high,3,3
100 Подписчиков  в группу Оптимальные 60   Хорошее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 120 ед/сутки Доступно 10000 ед Стабильные! Мало собак Безопасное продвижение!,100,0.6,vk,doctorsmm.csv,participate,high,3,3
1000 Подписчиков  в группу Оптимальные 592   Хорошее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 120 ед/сутки Доступно 10000 ед Стабильные! Мало собак Безопасное продвижение!,1000,0.592,vk,doctorsmm.csv,participate,high,3,3
5000 Подписчиков  в группу Оптимальные 2890   Хорошее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 120 ед/сутки Доступно 10000 ед Стабильные! Мало собак Безопасное продвижение!,5000,0.578,vk,doctorsmm.csv,participate,high,3,3
10000 Подписчиков  в группу Оптимальные 5590   Хорошее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 120 ед/сутки Доступно 10000 ед Стабильные! Мало собак Безопасное продвижение!,10000,0.559,vk,doctorsmm.csv,participate,high,3,3
100 Подписчиков  в группу Живые 79   Лучшее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 3000 ед Стабильные! Рекомендуем!,100,0.79,vk,doctorsmm.csv,participate,live,3,4
500 Подписчиков  в группу Живые 391   Лучшее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 3000 ед Стабильные! Рекомендуем!,500,0.782,vk,doctorsmm.csv,participate,live,3,4
1000 Подписчиков  в группу Живые 769   Лучшее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 3000 ед Стабильные! Рекомендуем!,1000,0.769,vk,doctorsmm.csv,participate,live,3,4
3000 Подписчиков  в группу Живые 2219   Лучшее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 3000 ед Стабильные! Рекомендуем!,3000,0.7396666666666667,vk,doctorsmm.csv,participate,live,3,4
100 Лайков  + 100 Просмотров Живые 27   Высокое качество СНГ Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 1000 ед/сутки Доступно 100К ед Гарантия 100% Безопасное продвижение!,100,0.27,vk,doctorsmm.csv,like,live,2,4
1000 Лайков  + 1000 Просмотров Живые 249   Высокое качество СНГ Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 1000 ед/сутки Доступно 100К ед Гарантия 100% Безопасное продвижение!,1000,0.249,vk,doctorsmm.csv,like,live,2,4
10000 Лайков  + 10000 Просмотров Живые 2290   Высокое качество СНГ Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 1000 ед/сутки Доступно 100К ед Гарантия 100% Безопасное продвижение!,10000,0.229,vk,doctorsmm.csv,like,live,2,4
100000 Лайков  + 100000 Просмотров 22290   Высокое качество СНГ Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 1000 ед/сутки Доступно 100К ед Гарантия 100% Безопасное продвижение!,100000,0.2229,vk,doctorsmm.csv,like,high,2,3
100 репостов  Быстрый старт Россия-СНГ 30   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,100,0.3,vk,doctorsmm.csv,repost,high,3,3
500 репостов  Быстрый старт Россия-СНГ 145   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,500,0.29,vk,doctorsmm.csv,repost,high,3,3
1000 репостов  Быстрый старт Россия-СНГ 280   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,1000,0.28,vk,doctorsmm.csv,repost,high,3,3
5000 репостов  Быстрый старт Россия-СНГ 1289   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,5000,0.2578,vk,doctorsmm.csv,repost,high,3,3
100 Подписчиков  Базовые 18   Низкое качество Запуск 4-8 час Мин 500 ед на 1 ссылку Скорость низкая Доступно 1000 ед Гарантии нет Безопасное продвижение,100,0.18,vk,doctorsmm.csv,participate,low,3,1
500 Подписчиков  Базовые 89   Низкое качество Запуск 4-8 час Мин 500 ед на 1 ссылку Скорость низкая Доступно 1000 ед Гарантии нет Безопасное продвижение,500,0.178,vk,doctorsmm.csv,participate,low,3,1
1000 Подписчиков  Базовые 173   Низкое качество Запуск 4-8 час Мин 500 ед на 1 ссылку Скорость низкая Доступно 1000 ед Гарантии нет Безопасное продвижение,1000,0.173,vk,doctorsmm.csv,participate,low,3,1
100 Подписчиков  Медленные 34   Биржевой трафик Запуск 0-4 час Мин 500 ед на 1 ссылку Скорость до 60 ед/сутки Доступно 3000 ед Гарантии нет Безопасное продвижение,100,0.34,vk,doctorsmm.csv,participate,low,3,1
500 Подписчиков  Медленные 161   Биржевой трафик Запуск 0-4 час Мин 500 ед на 1 ссылку Скорость до 60 ед/сутки Доступно 3000 ед Гарантии нет Безопасное продвижение,500,0.322,vk,doctorsmm.csv,participate,low,3,1
1000 Подписчиков  Медленные 319   Биржевой трафик Запуск 0-4 час Мин 500 ед на 1 ссылку Скорость до 60 ед/сутки Доступно 3000 ед Гарантии нет Безопасное продвижение,1000,0.319,vk,doctorsmm.csv,participate,low,3,1
100 Подписчиков  в группу Живые 79   Высокое качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 3000 ед Стабильные! Рекомендуем!,100,0.79,vk,doctorsmm.csv,participate,live,3,4
500 Подписчиков  в группу Живые 391   Высокое качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 3000 ед Стабильные! Рекомендуем!,500,0.782,vk,doctorsmm.csv,participate,live,3,4
1000 Подписчиков  в группу Живые 769   Высокое качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 3000 ед Стабильные! Рекомендуем!,1000,0.769,vk,doctorsmm.csv,participate,live,3,4
3000 Подписчиков  в группу Живые 2219   Высокое качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 200 ед/сутки Доступно 3000 ед Стабильные! Рекомендуем!,3000,0.7396666666666667,vk,doctorsmm.csv,participate,live,3,4
100 Подписчиков  Стандартные 44   Хорошее качество Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 100 ед/сутки Доступно 5000 ед Стабильные! Безопасное продвижение!,100,0.44,vk,doctorsmm.csv,participate,high,3,3
500 Подписчиков  Стандартные 217   Хорошее качество Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 100 ед/сутки Доступно 5000 ед Стабильные! Безопасное продвижение!,500,0.434,vk,doctorsmm.csv,participate,high,3,3
