dataset,Trust,Trust_IDN,TrustZ,TrustZ_IDN,TrustNZ,TrustNZ_IDN,SR,price,BTT,speed,NBQ
Youliker_B.txt,0.3125,0.29411764705882354,0.375,0.38235294117647056,0.16666666666666666,0.16,0.2647058823529412,0.3,0.0,1.0,1.0
Prtut_C.txt,0.8666666666666667,0.7959183673469388,0.9333333333333333,0.8571428571428571,0.8636363636363636,0.7307692307692307,0.46938775510204084,0.27,0.0,1.0,1.0
Sprintersmm_C.txt,0.7352941176470589,0.6756756756756757,0.7352941176470589,0.6756756756756757,0.625,0.5555555555555556,0.2702702702702703,0.3,0.0,0.0,1.0
Hideflow_B.txt,0.9,0.7758620689655172,0.96,0.9310344827586207,0.8181818181818182,0.75,0.7758620689655172,0.38,0.0,1.0,1.0
Mrpopular_B.txt,0.8571428571428571,0.72,0.8809523809523809,0.88,0.5454545454545454,0.5,0.76,0.12,0.0,0.0,0.0
smmtouch.txt,0.6909090909090909,0.6229508196721312,0.7818181818181819,0.7868852459016393,0.5384615384615384,0.5185185185185185,0.5573770491803278,0.15,0.0,0.0,0.0
V-like.txt,0.37142857142857144,0.3333333333333333,0.42857142857142855,0.41025641025641024,0.375,0.34285714285714286,0.10256410256410256,0.2,0.0,2.0,1.0
smmOG_B.txt,0.5666666666666667,0.5483870967741935,0.5666666666666667,0.5483870967741935,0.559322033898305,0.5409836065573771,0.016129032258064516,0.54,0.0,2.0,2.0
OLENI_HIGH.txt,0.15384615384615385,0.13333333333333333,0.46153846153846156,0.4666666666666667,0.0,0.0,0.4666666666666667,0.32,0.0,1.0,1.0
Smoservice_C.txt,0.7857142857142857,0.6875,0.8928571428571429,0.84375,0.8235294117647058,0.7368421052631579,0.40625,0.45,0.0,0.0,1.0
Smoservice_A.txt,0.7307692307692307,0.6333333333333333,0.7884615384615384,0.7666666666666667,0.6071428571428571,0.5483870967741935,0.48333333333333334,0.24,0.0,1.0,0.0
Smoservice_F.txt,0.8571428571428571,0.7384615384615385,0.875,0.8153846153846154,0.7666666666666667,0.6571428571428571,0.46153846153846156,0.09,0.0,0.0,0.0
Smoservice_B.txt,0.7903225806451613,0.6901408450704225,0.8709677419354839,0.8169014084507042,0.7142857142857143,0.6060606060606061,0.5352112676056338,0.14,0.0,0.0,0.0
Hideflow_C.txt,0.5333333333333333,0.4897959183673469,0.5555555555555556,0.5102040816326531,0.5238095238095238,0.4782608695652174,0.061224489795918366,0.52,0.0,2.0,2.0
boss_like_A.txt,0.625,0.5681818181818182,0.65,0.6136363636363636,0.4166666666666667,0.37037037037037035,0.38636363636363635,1.0,1.0,2.0,2.0
GetLike.txt,0.6,0.5416666666666666,0.676923076923077,0.6666666666666666,0.58,0.5576923076923077,0.2638888888888889,0.21,0.0,2.0,0.0
Likeinsta.txt,0.5342465753424658,0.48148148148148145,0.6712328767123288,0.654320987654321,0.5636363636363636,0.5344827586206896,0.2716049382716049,0.28,0.0,2.0,2.0
boss_like_B.txt,0.54,0.46551724137931033,0.68,0.6724137931034483,0.5675675675675675,0.5384615384615384,0.3103448275862069,0.66,1.0,2.0,2.0
wiq.txt,0.8301886792452831,0.7213114754098361,0.8867924528301887,0.8360655737704918,0.7142857142857143,0.6,0.5901639344262295,0.057,0.0,0.0,0.0
OLENI_MID.txt,0.8333333333333334,0.75,0.9722222222222222,0.925,0.875,0.7,0.75,0.12,0.0,1.0,0.0
tmsmm _C.txt,0.8333333333333334,0.7317073170731707,0.8333333333333334,0.8536585365853658,0.5384615384615384,0.5384615384615384,0.6829268292682927,0.089,0.0,0.0,0.0
MARSHRUTKA_HIGH.txt,0.39285714285714285,0.34375,0.5,0.4375,0.44,0.3793103448275862,0.09375,0.3,1.0,2.0,2.0
