time,annotator,analysed_acc_vk_id,human_answer,true_label,dataset
1649869042.8775463,3,685793542,USER,['bot'],['smmpromo_A.txt']
1649869043.7612505,7,448163928,BOT,['bot'],['Hideflow_B.txt']
1649869044.9250183,0,679982878,USER,['bot'],"['smmpromo_C.txt', 'Mrpopular_D.txt', 'Mrpopular_E.txt']"
1649869050.402526,7,688506806,BOT,['bot'],"['Mrpopular_C.txt', 'Mrpopular_B.txt']"
1649869050.8582883,4,46079123,USER,['shift'],['shift']
1649869051.4647918,0,624347412,BOT,['bot'],['smmtouch.txt']
1649869054.058066,6,481779370,BOT,['bot'],"['GetLike.txt', 'smmtouch.txt']"
1649869055.36439,0,574702328,BOT,['bot'],"['PARIK_HIGH.txt', 'PARIK_LOW.txt', 'PARIK_MID.txt']"
1649869055.9460423,3,32807372,USER,"['student', 'shift']","['student', 'shift']"
1649869057.614684,4,187648839,НЕ ЗНАЮ,['bot'],"['Z1Y1X1_A.txt', 'Youliker_B.txt']"
1649869060.00212,7,589619839,USER,['bot'],"['boss_like_A.txt', 'PRmotion_B.txt']"
1649869060.7978668,0,685163913,BOT,['bot'],['Hideflow_B.txt']
1649869061.5401676,6,565014765,НЕ ЗНАЮ,['bot'],"['Smoservice_E.txt', 'Smoservice_A.txt']"
1649869062.8847122,4,652281336,BOT,['bot'],['smmpromo_C.txt']
1649869066.2808163,0,156497568,USER,['bot'],['tmsmm _B.txt']
1649869066.986162,3,252034722,BOT,['random'],['random']
1649869069.2866333,6,686031924,BOT,['bot'],['Mrpopular_A.txt']
1649869070.0437813,4,229982267,BOT,['bot'],"['smmyt_D.txt', 'smmOG_A.txt']"
1649869073.732135,4,584397323,BOT,['bot'],['MARSHRUTKA_LOW.txt']
1649869077.1079288,4,688115388,BOT,['bot'],"['Youliker_A.txt', 'Smoservice_A.txt']"
1649869079.4447713,3,626734119,BOT,"['random', 'shift']","['random', 'shift']"
1649869083.2649257,4,26948815,USER,"['student', 'shift']","['student', 'shift']"
1649869084.872671,6,377478248,USER,"['student', 'shift']","['student', 'shift']"
1649869089.8293746,4,451520329,НЕ ЗНАЮ,['bot'],['OLENI_HIGH.txt']
1649869090.1033168,6,229865547,BOT,['bot'],"['Smoservice_D.txt', 'Smoservice_F.txt', 'Smoservice_A.txt']"
1649869090.873993,3,228973258,USER,['shift'],['shift']
1649869091.714117,7,682737510,BOT,['bot'],"['GetLike.txt', 'smmtouch.txt', 'Likeinsta.txt']"
1649869094.486842,4,310519545,BOT,"['random', 'shift']","['random', 'shift']"
1649869099.3690276,4,278972621,BOT,['shift'],['shift']
1649869102.0466552,6,678283299,BOT,['bot'],"['Hideflow_C.txt', 'tmsmm _B.txt']"
1649869103.8342712,4,287737774,BOT,['bot'],"['smmtouch.txt', 'Mrpopular_B.txt']"
1649869108.5566487,4,685179612,BOT,['bot'],"['smmpromo_A.txt', 'Mrpopular_C.txt']"
1649869109.4116628,3,412016750,USER,['bot'],"['GetLike.txt', 'boss_like_B.txt', 'Likeinsta.txt']"
1649869117.8826687,4,165032790,USER,"['student', 'shift']","['student', 'shift']"
1649869123.8531003,6,235153574,USER,"['student', 'shift']","['student', 'shift']"
1649869124.4168246,4,202730498,BOT,['random'],['random']
1649869129.588754,4,63296861,BOT,['bot'],['Prtut_A.txt']
1649869134.6950967,4,417740120,BOT,['random'],['random']
1649869139.4810605,4,625050497,BOT,['bot'],['tmsmm _C.txt']
1649869143.561092,6,278111114,BOT,['random'],['random']
1649869144.4015462,4,678840132,BOT,['bot'],['Hideflow_C.txt']
1649869152.8956304,6,26572058,USER,['shift'],['shift']
1649869156.4568052,3,677559455,USER,['bot'],"['Mrpopular_D.txt', 'smmpromo_C.txt', 'Mrpopular_F.txt', 'Mrpopular_E.txt']"
1649869168.9245174,3,215019159,USER,['bot'],"['smmyt_D.txt', 'tmsmm _B.txt']"
1649869178.7062173,3,133770972,USER,"['student', 'shift']","['student', 'shift']"
1649869179.4527764,6,628094021,НЕ ЗНАЮ,['bot'],"['wiq.txt', 'Smoservice_A.txt']"
1649869183.539107,1,627921986,BOT,"['random', 'shift']","['random', 'shift']"
1649869184.4416382,6,661367462,BOT,['bot'],['smmyt_C.txt']
1649869188.7993224,6,688567241,BOT,['bot'],"['tmsmm _C.txt', 'smmyt_A.txt', 'smmyt_B.txt']"
1649869189.2314365,3,4050306,USER,"['student', 'shift']","['student', 'shift']"
1649869192.0658307,1,637525872,BOT,['bot'],"['Mrpopular_D.txt', 'Mrpopular_F.txt', 'Mrpopular_E.txt']"
1649869192.2772555,4,257796819,BOT,['bot'],"['social_bots.txt', 'Ohta_Month.txt']"
1649869196.3013666,4,679920828,BOT,['bot'],"['smmyt_D.txt', 'smmOG_A.txt', 'smmyt_E.txt']"
1649869197.8810494,1,691862855,BOT,['bot'],['Socelin_A.txt']
1649869200.5411232,3,688780988,BOT,['bot'],['PRmotion_A.txt']
1649869202.8887784,4,224636069,BOT,['bot'],['Mary_El_report_11_08_21.txt']
1649869207.010048,4,555648565,BOT,['bot'],['PRmotion_B.txt']
1649869207.4860828,1,1828193,USER,['shift'],['shift']
1649869212.4435077,4,682123298,BOT,['bot'],['boss_like_A.txt']
1649869214.1725414,1,251291969,USER,"['student', 'shift']","['student', 'shift']"
1649869216.40388,4,688075548,BOT,['bot'],['prostospec.txt']
1649869220.0374866,3,647665007,BOT,['bot'],['V-like.txt']
1649869221.352529,4,690028484,BOT,['bot'],['smmpromo_B.txt']
1649869223.990172,1,185055040,USER,"['student', 'shift']","['student', 'shift']"
1649869224.8569367,4,688783044,BOT,['bot'],['PRmotion_A.txt']
1649869226.145244,3,688133083,BOT,['bot'],"['Smoservice_B.txt', 'smmtouch.txt', 'Youliker_A.txt']"
1649869229.1123943,4,594194832,BOT,"['random', 'shift']","['random', 'shift']"
1649869235.1610005,4,384476761,USER,['bot'],"['Hideflow_C.txt', 'smmyt_D.txt']"
1649869236.4891512,4,130206448,USER,['random'],['random']
1649869236.9214008,1,421119351,USER,['bot'],"['Mrpopular_E.txt', 'smmpromo_C.txt', 'Mrpopular_D.txt', 'Mrpopular_B.txt']"
1649869239.368106,3,387186609,USER,['shift'],['shift']
1649869243.23878,1,78297655,BOT,['random'],['random']
1649869244.8407683,7,472184768,USER,"['student', 'shift']","['student', 'shift']"
1649869245.4053044,6,591928906,BOT,['bot'],['followers.txt']
1649869245.82164,3,597575960,BOT,['random'],['random']
1649869249.928578,4,521018139,USER,['bot'],['Cashbox.txt']
1649869252.564515,6,177385163,USER,"['student', 'shift']","['student', 'shift']"
1649869253.8644814,4,238356757,BOT,['bot'],"['Prtut_B.txt', 'Prtut_A.txt']"
1649869258.666837,7,65893796,USER,['shift'],['shift']
1649869259.112787,1,603418525,НЕ ЗНАЮ,['bot'],"['Sprintersmm_B.txt', 'Mrpopular_A.txt']"
1649869259.6982305,4,168528827,USER,['bot'],['tmsmm _B.txt']
1649869264.1635969,1,201592852,BOT,['bot'],['smmyt_E.txt']
1649869267.2897682,4,292135772,BOT,['bot'],"['social_bots.txt', 'Ohta_Month.txt']"
1649869268.7398243,6,497893545,BOT,['bot'],"['PARIK_LOW.txt', 'PARIK_MID.txt']"
1649869271.04487,3,426517489,USER,['random'],['random']
1649869272.4907577,1,688142628,BOT,['bot'],"['Smoservice_E.txt', 'Hideflow_A.txt']"
1649869276.7913566,4,134984104,BOT,['bot'],['Youliker_B.txt']
1649869277.2382665,6,510415332,USER,['bot'],['prostospec.txt']
1649869279.7825105,3,688509881,BOT,['bot'],"['Mrpopular_C.txt', 'Mrpopular_A.txt']"
1649869280.7468836,7,687392868,BOT,['bot'],"['Sprintersmm_C.txt', 'Prtut_C.txt']"
1649869281.1508756,4,617739913,BOT,['bot'],"['Smoservice_A.txt', 'Smoservice_C.txt']"
1649869282.864639,1,688768777,BOT,['bot'],['PRmotion_A.txt']
1649869284.9961183,6,687393840,BOT,['bot'],['Prtut_C.txt']
1649869285.5731614,3,688134659,BOT,['bot'],['Hideflow_A.txt']
